i,j,k,r,phi
0,5,15,18.0277563773,0.0
0,5,16,18.0554700853,0.0
0,5,17,18.1383571472,0.0
0,5,18,18.2756668825,0.0
0,5,19,18.4661853126,0.0
0,5,20,18.7082869339,0.0
0,5,21,19.0,0.0
0,5,22,19.3390796058,0.0
0,5,23,19.7230829233,0.0
0,5,24,20.1494416796,0.0
0,5,25,20.6155281281,0.0
0,5,26,21.1187120819,0.0
0,5,27,21.6564078277,0.0
0,5,28,22.2261107709,0.0
0,5,29,22.825424421,0.0
0,6,0,23.0434372436,0.0
0,6,1,22.4053565024,0.0
0,6,2,21.7944947177,0.0
0,6,3,21.2132034356,0.0
0,6,4,20.6639783198,0.0
0,6,5,20.1494416796,0.0
0,6,6,19.6723155729,0.0
0,6,7,19.2353840617,0.0
0,6,8,18.8414436814,0.0
0,6,9,18.4932420089,0.0
0,6,10,18.1934053987,0.0
0,6,11,17.9443584449,0.0
0,6,12,17.7482393493,0.0
0,6,13,17.6068168617,0.0
0,6,14,17.5214154679,0.0
0,6,15,17.4928556845,0.0
0,6,16,17.5214154679,0.0
0,6,17,17.6068168617,0.0
0,6,18,17.7482393493,0.0
0,6,19,17.9443584449,0.0
0,6,20,18.1934053987,0.0
0,6,21,18.4932420089,0.0
0,6,22,18.8414436814,0.0
0,6,23,19.2353840617,0.0
0,6,24,19.6723155729,0.0
0,6,25,20.1494416796,0.0
0,6,26,20.6639783198,0.0
0,6,27,21.2132034356,0.0
0,6,28,21.7944947177,0.0
0,6,29,22.4053565024,0.0
0,7,0,22.6715680975,0.0
0,7,1,22.0227155455,0.0
0,7,2,21.400934559,0.0
0,7,3,20.8086520467,0.0
0,7,4,20.2484567313,0.0
0,7,5,19.7230829233,0.0
0,7,6,19.2353840617,0.0
0,7,7,18.7882942281,0.0
0,7,8,18.3847763109,0.0
0,7,9,18.0277563773,0.0
0,7,10,17.7200451467,0.0
0,7,11,17.4642491966,0.0
0,7,12,17.2626765016,0.0
0,7,13,17.1172427686,0.0
0,7,14,17.0293863659,0.0
0,7,15,17.0,0.0
0,7,16,17.0293863659,0.0
0,7,17,17.1172427686,0.0
0,7,18,17.2626765016,0.0
0,7,19,17.4642491966,0.0
0,7,20,17.7200451467,0.0
0,7,21,18.0277563773,0.0
0,7,22,18.3847763109,0.0
0,7,23,18.7882942281,0.0
0,7,24,19.2353840617,0.0
0,7,25,19.7230829233,0.0
0,7,26,20.2484567313,0.0
0,7,27,20.8086520467,0.0
0,7,28,21.400934559,0.0
0,7,29,22.0227155455,0.0
0,8,0,22.3383079037,0.0
0,8,1,21.6794833887,0.0
0,8,2,21.0475651798,0.0
0,8,3,20.4450483003,0.0
0,8,4,19.8746069144,0.0
0,8,5,19.3390796058,0.0
0,8,6,18.8414436814,0.0
0,8,7,18.3847763109,0.0
0,8,8,17.9722007556,0.0
0,8,9,17.6068168617,0.0
0,8,10,17.2916164658,0.0
0,8,11,17.0293863659,0.0
0,8,12,16.8226038413,0.0
0,8,13,16.6733320005,0.0
0,8,14,16.5831239518,0.0
0,8,15,16.5529453572,0.0
0,8,16,16.5831239518,0.0
0,8,17,16.6733320005,0.0
0,8,18,16.8226038413,0.0
0,8,19,17.0293863659,0.0
0,8,20,17.2916164658,0.0
0,8,21,17.6068168617,0.0
0,8,22,17.9722007556,0.0
0,8,23,18.3847763109,0.0
0,8,24,18.8414436814,0.0
0,8,25,19.3390796058,0.0
0,8,26,19.8746069144,0.0
0,8,27,20.4450483003,0.0
0,8,28,21.0475651798,0.0
0,8,29,21.6794833887,0.0
0,9,0,22.045407685,0.0
0,9,1,21.3775583264,0.0
0,9,2,20.7364413533,0.0
0,9,3,20.1246117975,0.0
0,9,4,19.5448202857,0.0
0,9,5,19.0,0.0
0,9,6,18.4932420089,0.0
0,9,7,18.0277563773,0.0
0,9,8,17.6068168617,0.0
0,9,9,17.2336879396,0.0
0,9,10,16.9115345253,0.0
0,9,11,16.6433169771,0.0
0,9,12,16.4316767252,0.0
0,9,13,16.2788205961,0.0
0,9,14,16.1864140562,0.0
0,9,15,16.1554944214,0.0
0,9,16,16.1864140562,0.0
0,9,17,16.2788205961,0.0
0,9,18,16.4316767252,0.0
0,9,19,16.6433169771,0.0
0,9,20,16.9115345253,0.0
0,9,21,17.2336879396,0.0
0,9,22,17.6068168617,0.0
0,9,23,18.0277563773,0.0
0,9,24,18.4932420089,0.0
0,9,25,19.0,0.0
0,9,26,19.5448202857,0.0
0,9,27,20.1246117975,0.0
0,9,28,20.7364413533,0.0
0,9,29,21.3775583264,0.0
0,10,0,21.7944947177,0.0
0,10,1,21.1187120819,0.0
0,10,2,20.4694894905,0.0
0,10,3,19.8494332413,0.0
0,10,4,19.2613602843,0.0
0,10,5,18.7082869339,0.0
0,10,6,18.1934053987,0.0
0,10,7,17.7200451467,0.0
0,10,8,17.2916164658,0.0
0,10,9,16.9115345253,0.0
0,10,10,16.5831239518,0.0
0,10,11,16.3095064303,0.0
0,10,12,16.0934769394,0.0
0,10,13,15.9373774505,0.0
0,10,14,15.8429795178,0.0
0,10,15,15.8113883008,0.0
0,10,16,15.8429795178,0.0
0,10,17,15.9373774505,0.0
0,10,18,16.0934769394,0.0
0,10,19,16.3095064303,0.0
0,10,20,16.5831239518,0.0
0,10,21,16.9115345253,0.0
0,10,22,17.2916164658,0.0
0,10,23,17.7200451467,0.0
0,10,24,18.1934053987,0.0
0,10,25,18.7082869339,0.0
0,10,26,19.2613602843,0.0
0,10,27,19.8494332413,0.0
0,10,28,20.4694894905,0.0
0,10,29,21.1187120819,0.0
