i,j,r,A_Z,B
2,32,24.0416305603,0.014154352614,0.00714808193228
2,33,24.3515913238,0.0135365246879,0.00683993115348
2,34,24.6981780705,0.0128639581333,0.00650516623192
2,35,25.079872408,0.012144364376,0.00614734177384
2,36,25.495097568,0.0113843348242,0.00577032774629
2,37,25.9422435421,0.0105908528509,0.0053773984494
2,38,26.4196896272,0.00976957474722,0.00497198525194
2,39,26.9258240357,0.00892625291197,0.00455690932848
2,40,27.4590604355,0.00806528394684,0.00413511089588
2,41,28.0178514522,0.00719100479364,0.00370906012171
2,42,28.6006992922,0.00630651160091,0.00328150095797
2,43,29.206163733,0.00541478511927,0.00285515961669
2,44,29.8328677804,0.0045177775809,0.00243374891273
2,45,30.4795013083,0.00361732868205,0.00202259484583
2,46,31.1448230048,0.00271451826271,0.00163145874726
2,47,31.8276609257,0.00181034406453,0.00128016172041
2,48,32.5269119346,0.000905340520605,0.00101218756215
2,49,33.2415402772,0.0,0.000452670260303
3,0,33.3016516107,0.0,0.000644236855577
3,1,32.5576411922,0.00128847371115,0.00135824560714
3,2,31.8276609257,0.00257715518005,0.00154882336552
3,3,31.1126983722,0.00386603361885,0.00182285535996
3,4,30.4138126515,0.00515506195235,0.00214866762027
3,5,29.7321374946,0.00644353817425,0.00250615591958
3,6,29.0688837075,0.00773068339987,0.00288322076102
3,7,28.4253408071,0.00901463301091,0.00327261122227
3,8,27.8028775489,0.0102934033832,0.00366934141319
3,9,27.2029410175,0.0115635152997,0.00406993519809
3,10,26.6270539114,0.0128213438027,0.00447124476173
3,11,26.0768096208,0.0140614119526,0.00487062838462
3,12,25.5538646784,0.0152781227719,0.0052651124652
3,13,25.0599281723,0.0164637782411,0.00565191969391
3,14,24.5967477525,0.0176106969725,0.00602768741395
3,15,24.1660919472,0.0187090268259,0.00638919147666
3,16,23.769728648,0.0197492506591,0.0067325586146
3,17,23.4093998214,0.0207198630961,0.00705414103109
3,18,23.0867927612,0.0216102503473,0.0073497177233
3,19,22.803508502,0.022408283025,0.00761549720828
3,20,22.5610283454,0.0231035169267,0.0078473098578
