n, F
324,-27.3404638099
325,-27.340463954
326,-27.3404640973
327,-27.3404642397
328,-27.3404643813
329,-27.3404645221
330,-27.3404646621
331,-27.3404648012
332,-27.3404649396
333,-27.3404650771
334,-27.3404652139
335,-27.3404653499
336,-27.3404654851
337,-27.3404656195
338,-27.3404657532
339,-27.3404658861
340,-27.3404660183
341,-27.3404661497
342,-27.3404662804
343,-27.3404664104
344,-27.3404665397
345,-27.3404666682
346,-27.3404667961
347,-27.3404669232
348,-27.3404670497
349,-27.3404671754
350,-27.3404673005
351,-27.3404674249
352,-27.3404675486
353,-27.3404676717
354,-27.3404677941
355,-27.3404679158
356,-27.3404680369
357,-27.3404681574
358,-27.3404682772
359,-27.3404683964
360,-27.3404685149
361,-27.3404686329
362,-27.3404687502
363,-27.3404688669
364,-27.3404689831
365,-27.3404690986
366,-27.3404692135
367,-27.3404693278
368,-27.3404694416
369,-27.3404695547
370,-27.3404696673
371,-27.3404697793
372,-27.3404698908
373,-27.3404700017
374,-27.340470112
375,-27.3404702218
376,-27.340470331
377,-27.3404704397
378,-27.3404705479
379,-27.3404706555
380,-27.3404707626
381,-27.3404708692
382,-27.3404709752
383,-27.3404710807
384,-27.3404711858
385,-27.3404712903
386,-27.3404713943
387,-27.3404714978
388,-27.3404716008
389,-27.3404717033
390,-27.3404718053
391,-27.3404719069
392,-27.3404720079
393,-27.3404721085
394,-27.3404722086
395,-27.3404723083
396,-27.3404724074
397,-27.3404725061
398,-27.3404726044
399,-27.3404727022
400,-27.3404727995
401,-27.3404728964
402,-27.3404729929
403,-27.3404730889
404,-27.3404731845
405,-27.3404732796
406,-27.3404733743
407,-27.3404734686
408,-27.3404735625
409,-27.3404736559
410,-27.3404737489
411,-27.3404738415
412,-27.3404739337
413,-27.3404740255
414,-27.3404741169
415,-27.3404742078
416,-27.3404742984
417,-27.3404743886
418,-27.3404744784
419,-27.3404745678
420,-27.3404746568
421,-27.3404747454
422,-27.3404748336
423,-27.3404749215
424,-27.3404750089
425,-27.340475096
426,-27.3404751828
427,-27.3404752691
428,-27.3404753551
429,-27.3404754408
430,-27.3404755261
431,-27.340475611
432,-27.3404756955
433,-27.3404757797
434,-27.3404758636
435,-27.3404759471
436,-27.3404760303
437,-27.3404761131
438,-27.3404761956
439,-27.3404762777
440,-27.3404763595
441,-27.340476441
442,-27.3404765221
443,-27.340476603
444,-27.3404766834
445,-27.3404767636
446,-27.3404768435
447,-27.340476923
448,-27.3404770022
449,-27.3404770811
450,-27.3404771597
451,-27.3404772379
452,-27.3404773159
453,-27.3404773935
454,-27.3404774709
455,-27.3404775479
456,-27.3404776247
457,-27.3404777011
458,-27.3404777773
459,-27.3404778531
460,-27.3404779287
461,-27.340478004
462,-27.3404780789
463,-27.3404781536
464,-27.3404782281
465,-27.3404783022
466,-27.340478376
467,-27.3404784496
468,-27.3404785229
469,-27.3404785959
470,-27.3404786687
471,-27.3404787412
472,-27.3404788134
473,-27.3404788853
474,-27.340478957
475,-27.3404790284
476,-27.3404790995
477,-27.3404791704
478,-27.3404792411
479,-27.3404793114
480,-27.3404793815
481,-27.3404794514
482,-27.340479521
483,-27.3404795904
484,-27.3404796595
485,-27.3404797283
486,-27.3404797969
487,-27.3404798653
488,-27.3404799334
489,-27.3404800013
490,-27.340480069
491,-27.3404801364
492,-27.3404802035
493,-27.3404802705
494,-27.3404803372
495,-27.3404804036
496,-27.3404804699
497,-27.3404805359
498,-27.3404806016
499,-27.3404806672
500,-27.3404807325
501,-27.3404807976
502,-27.3404808625
503,-27.3404809272
504,-27.3404809916
505,-27.3404810558
506,-27.3404811198
507,-27.3404811836
508,-27.3404812472
509,-27.3404813106
510,-27.3404813737
511,-27.3404814367
512,-27.3404814994
513,-27.3404815619
514,-27.3404816242
515,-27.3404816863
516,-27.3404817482
517,-27.3404818099
518,-27.3404818714
519,-27.3404819327
520,-27.3404819938
521,-27.3404820548
522,-27.3404821155
523,-27.340482176
524,-27.3404822363
525,-27.3404822964
526,-27.3404823563
527,-27.3404824161
528,-27.3404824756
529,-27.340482535
530,-27.3404825942
531,-27.3404826532
532,-27.340482712
533,-27.3404827706
534,-27.340482829
535,-27.3404828873
536,-27.3404829453
537,-27.3404830032
538,-27.3404830609
539,-27.3404831185
540,-27.3404831758
541,-27.340483233
542,-27.34048329
543,-27.3404833468
544,-27.3404834035
545,-27.34048346
546,-27.3404835163
547,-27.3404835724
548,-27.3404836284
549,-27.3404836842
550,-27.3404837398
551,-27.3404837953
552,-27.3404838506
553,-27.3404839058
554,-27.3404839607
555,-27.3404840156
556,-27.3404840702
557,-27.3404841247
558,-27.340484179
559,-27.3404842332
560,-27.3404842872
561,-27.3404843411
562,-27.3404843948
563,-27.3404844483
564,-27.3404845017
565,-27.340484555
566,-27.340484608
567,-27.340484661
568,-27.3404847138
569,-27.3404847664
570,-27.3404848189
571,-27.3404848712
572,-27.3404849234
573,-27.3404849754
574,-27.3404850273
575,-27.3404850791
576,-27.3404851307
577,-27.3404851821
578,-27.3404852334
579,-27.3404852846
580,-27.3404853356
581,-27.3404853865
582,-27.3404854373
583,-27.3404854879
584,-27.3404855383
585,-27.3404855887
586,-27.3404856388
587,-27.3404856889
588,-27.3404857388
589,-27.3404857886
590,-27.3404858383
591,-27.3404858878
592,-27.3404859371
593,-27.3404859864
594,-27.3404860355
595,-27.3404860845
596,-27.3404861334
597,-27.3404861821
598,-27.3404862307
599,-27.3404862792
600,-27.3404863275
601,-27.3404863757
602,-27.3404864238
603,-27.3404864718
604,-27.3404865196
605,-27.3404865673
606,-27.3404866149
607,-27.3404866624
608,-27.3404867097
609,-27.3404867569
610,-27.340486804
611,-27.340486851
612,-27.3404868979
613,-27.3404869446
614,-27.3404869912
615,-27.3404870377
616,-27.3404870841
617,-27.3404871304
618,-27.3404871765
619,-27.3404872226
620,-27.3404872685
621,-27.3404873143
622,-27.34048736
623,-27.3404874055
624,-27.340487451
625,-27.3404874964
626,-27.3404875416
627,-27.3404875867
628,-27.3404876317
629,-27.3404876766
630,-27.3404877214
631,-27.3404877661
632,-27.3404878107
633,-27.3404878552
634,-27.3404878995
635,-27.3404879438
636,-27.3404879879
637,-27.340488032
638,-27.3404880759
639,-27.3404881197
640,-27.3404881635
641,-27.3404882071
642,-27.3404882506
643,-27.340488294
644,-27.3404883373
645,-27.3404883805
646,-27.3404884236
647,-27.3404884666
648,-27.3404885095
649,-27.3404885523
650,-27.3404885951
651,-27.3404886377
652,-27.3404886802
653,-27.3404887226
654,-27.3404887649
655,-27.3404888071
656,-27.3404888492
657,-27.3404888912
658,-27.3404889332
659,-27.340488975
660,-27.3404890167
661,-27.3404890584
662,-27.3404890999
663,-27.3404891413
664,-27.3404891827
665,-27.340489224
666,-27.3404892651
667,-27.3404893062
668,-27.3404893472
669,-27.3404893881
670,-27.3404894289
671,-27.3404894696
672,-27.3404895102
673,-27.3404895508
674,-27.3404895912
675,-27.3404896316
676,-27.3404896718
677,-27.340489712
678,-27.3404897521
679,-27.3404897921
680,-27.340489832
681,-27.3404898718
682,-27.3404899116
683,-27.3404899512
684,-27.3404899908
685,-27.3404900303
686,-27.3404900697
687,-27.340490109
688,-27.3404901483
689,-27.3404901874
690,-27.3404902265
691,-27.3404902655
692,-27.3404903044
693,-27.3404903432
694,-27.3404903819
695,-27.3404904206
696,-27.3404904592
697,-27.3404904976
698,-27.3404905361
699,-27.3404905744
700,-27.3404906127
701,-27.3404906508
702,-27.3404906889
703,-27.3404907269
704,-27.3404907649
705,-27.3404908028
706,-27.3404908405
707,-27.3404908782
708,-27.3404909159
709,-27.3404909534
710,-27.3404909909
711,-27.3404910283
712,-27.3404910656
713,-27.3404911029
714,-27.3404911401
715,-27.3404911772
716,-27.3404912142
717,-27.3404912512
718,-27.340491288
719,-27.3404913248
720,-27.3404913616
721,-27.3404913982
722,-27.3404914348
723,-27.3404914713
724,-27.3404915078
725,-27.3404915442
726,-27.3404915805
727,-27.3404916167
728,-27.3404916529
729,-27.3404916889
730,-27.340491725
731,-27.3404917609
732,-27.3404917968
733,-27.3404918326
734,-27.3404918683
735,-27.340491904
736,-27.3404919396
737,-27.3404919752
738,-27.3404920106
739,-27.340492046
740,-27.3404920814
741,-27.3404921166
742,-27.3404921518
743,-27.340492187
744,-27.340492222
745,-27.340492257
746,-27.340492292
747,-27.3404923269
748,-27.3404923617
749,-27.3404923964
750,-27.3404924311
751,-27.3404924657
752,-27.3404925002
753,-27.3404925347
754,-27.3404925692
755,-27.3404926035
756,-27.3404926378
757,-27.340492672
758,-27.3404927062
759,-27.3404927403
760,-27.3404927744
761,-27.3404928083
762,-27.3404928423
763,-27.3404928761
764,-27.3404929099
765,-27.3404929437
766,-27.3404929774
767,-27.340493011
768,-27.3404930445
769,-27.340493078
770,-27.3404931115
771,-27.3404931448
772,-27.3404931782
773,-27.3404932114
774,-27.3404932446
775,-27.3404932778
776,-27.3404933109
777,-27.3404933439
778,-27.3404933769
779,-27.3404934098
780,-27.3404934426
781,-27.3404934754
782,-27.3404935082
783,-27.3404935409
784,-27.3404935735
785,-27.3404936061
786,-27.3404936386
787,-27.340493671
788,-27.3404937034
789,-27.3404937358
790,-27.3404937681
791,-27.3404938003
792,-27.3404938325
793,-27.3404938646
794,-27.3404938967
795,-27.3404939287
796,-27.3404939607
797,-27.3404939926
798,-27.3404940245
799,-27.3404940563
800,-27.340494088
801,-27.3404941197
802,-27.3404941514
803,-27.340494183
804,-27.3404942145
805,-27.340494246
806,-27.3404942775
807,-27.3404943088
808,-27.3404943402
809,-27.3404943715
810,-27.3404944027
811,-27.3404944339
812,-27.340494465
813,-27.3404944961
814,-27.3404945271
815,-27.3404945581
816,-27.340494589
817,-27.3404946199
818,-27.3404946507
819,-27.3404946815
820,-27.3404947122
821,-27.3404947429
822,-27.3404947736
823,-27.3404948041
824,-27.3404948347
825,-27.3404948652
826,-27.3404948956
827,-27.340494926
828,-27.3404949563
829,-27.3404949866
830,-27.3404950169
831,-27.3404950471
832,-27.3404950772
833,-27.3404951073
834,-27.3404951374
835,-27.3404951674
836,-27.3404951974
837,-27.3404952273
838,-27.3404952572
839,-27.340495287
840,-27.3404953168
841,-27.3404953465
842,-27.3404953762
843,-27.3404954059
844,-27.3404954355
845,-27.340495465
846,-27.3404954945
847,-27.340495524
848,-27.3404955534
849,-27.3404955828
850,-27.3404956121
851,-27.3404956414
852,-27.3404956706
853,-27.3404956998
854,-27.340495729
855,-27.3404957581
856,-27.3404957872
857,-27.3404958162
858,-27.3404958452
859,-27.3404958741
860,-27.340495903
861,-27.3404959319
862,-27.3404959607
863,-27.3404959895
864,-27.3404960182
865,-27.3404960469
866,-27.3404960755
867,-27.3404961041
868,-27.3404961327
869,-27.3404961612
870,-27.3404961897
871,-27.3404962181
872,-27.3404962465
873,-27.3404962749
874,-27.3404963032
875,-27.3404963314
876,-27.3404963597
877,-27.3404963879
878,-27.340496416
879,-27.3404964441
880,-27.3404964722
881,-27.3404965002
882,-27.3404965282
883,-27.3404965562
884,-27.3404965841
885,-27.340496612
886,-27.3404966398
887,-27.3404966676
888,-27.3404966953
889,-27.3404967231
890,-27.3404967507
891,-27.3404967784
892,-27.340496806
893,-27.3404968336
894,-27.3404968611
895,-27.3404968886
896,-27.340496916
897,-27.3404969434
898,-27.3404969708
899,-27.3404969981
900,-27.3404970254
901,-27.3404970527
902,-27.3404970799
903,-27.3404971071
904,-27.3404971343
905,-27.3404971614
906,-27.3404971885
907,-27.3404972155
908,-27.3404972425
909,-27.3404972695
910,-27.3404972964
911,-27.3404973233
912,-27.3404973502
913,-27.340497377
914,-27.3404974038
915,-27.3404974306
916,-27.3404974573
917,-27.340497484
918,-27.3404975106
919,-27.3404975372
920,-27.3404975638
921,-27.3404975904
922,-27.3404976169
923,-27.3404976433
924,-27.3404976698
925,-27.3404976962
926,-27.3404977226
927,-27.3404977489
928,-27.3404977752
929,-27.3404978015
930,-27.3404978277
931,-27.3404978539
932,-27.3404978801
933,-27.3404979062
934,-27.3404979323
935,-27.3404979584
936,-27.3404979844
937,-27.3404980104
938,-27.3404980364
939,-27.3404980623
940,-27.3404980882
941,-27.3404981141
942,-27.3404981399
943,-27.3404981657
944,-27.3404981915
945,-27.3404982173
946,-27.340498243
947,-27.3404982686
948,-27.3404982943
949,-27.3404983199
950,-27.3404983455
951,-27.340498371
952,-27.3404983966
953,-27.340498422
954,-27.3404984475
955,-27.3404984729
956,-27.3404984983
957,-27.3404985237
958,-27.340498549
959,-27.3404985743
960,-27.3404985996
961,-27.3404986248
962,-27.34049865
963,-27.3404986752
964,-27.3404987003
965,-27.3404987255
966,-27.3404987506
967,-27.3404987756
968,-27.3404988006
969,-27.3404988256
970,-27.3404988506
971,-27.3404988755
972,-27.3404989004
973,-27.3404989253
974,-27.3404989502
975,-27.340498975
976,-27.3404989998
977,-27.3404990245
978,-27.3404990493
979,-27.340499074
980,-27.3404990986
981,-27.3404991233
982,-27.3404991479
983,-27.3404991725
984,-27.3404991971
985,-27.3404992216
986,-27.3404992461
987,-27.3404992706
988,-27.340499295
989,-27.3404993194
990,-27.3404993438
991,-27.3404993682
992,-27.3404993925
993,-27.3404994168
994,-27.3404994411
995,-27.3404994653
996,-27.3404994896
997,-27.3404995138
998,-27.3404995379
999,-27.3404995621
1000,-27.3404995862
1001,-27.3404996103
1002,-27.3404996343
1003,-27.3404996584
1004,-27.3404996824
1005,-27.3404997063
1006,-27.3404997303
1007,-27.3404997542
1008,-27.3404997781
1009,-27.340499802
1010,-27.3404998258
1011,-27.3404998497
1012,-27.3404998735
1013,-27.3404998972
1014,-27.340499921
1015,-27.3404999447
1016,-27.3404999684
1017,-27.340499992
1018,-27.3405000157
1019,-27.3405000393
1020,-27.3405000629
1021,-27.3405000864
1022,-27.34050011
1023,-27.3405001335
1024,-27.340500157
1025,-27.3405001804
1026,-27.3405002038
1027,-27.3405002273
1028,-27.3405002506
1029,-27.340500274
1030,-27.3405002973
1031,-27.3405003206
1032,-27.3405003439
1033,-27.3405003672
1034,-27.3405003904
1035,-27.3405004136
1036,-27.3405004368
1037,-27.34050046
1038,-27.3405004831
1039,-27.3405005062
1040,-27.3405005293
1041,-27.3405005524
1042,-27.3405005754
1043,-27.3405005984
1044,-27.3405006214
1045,-27.3405006444
1046,-27.3405006673
1047,-27.3405006903
1048,-27.3405007132
1049,-27.340500736
1050,-27.3405007589
1051,-27.3405007817
1052,-27.3405008045
1053,-27.3405008273
1054,-27.3405008501
1055,-27.3405008728
1056,-27.3405008955
1057,-27.3405009182
1058,-27.3405009408
1059,-27.3405009635
1060,-27.3405009861
1061,-27.3405010087
1062,-27.3405010313
1063,-27.3405010538
1064,-27.3405010764
1065,-27.3405010989
1066,-27.3405011214
1067,-27.3405011438
1068,-27.3405011663
1069,-27.3405011887
1070,-27.3405012111
1071,-27.3405012334
1072,-27.3405012558
1073,-27.3405012781
1074,-27.3405013004
1075,-27.3405013227
1076,-27.340501345
1077,-27.3405013672
1078,-27.3405013894
1079,-27.3405014116
1080,-27.3405014338
1081,-27.340501456
1082,-27.3405014781
1083,-27.3405015002
1084,-27.3405015223
1085,-27.3405015444
1086,-27.3405015664
1087,-27.3405015884
1088,-27.3405016105
1089,-27.3405016324
1090,-27.3405016544
1091,-27.3405016763
1092,-27.3405016983
1093,-27.3405017202
1094,-27.340501742
1095,-27.3405017639
1096,-27.3405017857
1097,-27.3405018076
1098,-27.3405018294
1099,-27.3405018511
1100,-27.3405018729
1101,-27.3405018946
1102,-27.3405019164
1103,-27.3405019381
1104,-27.3405019597
1105,-27.3405019814
1106,-27.340502003
1107,-27.3405020246
1108,-27.3405020462
1109,-27.3405020678
1110,-27.3405020894
1111,-27.3405021109
1112,-27.3405021324
1113,-27.3405021539
1114,-27.3405021754
1115,-27.3405021969
1116,-27.3405022183
1117,-27.3405022397
1118,-27.3405022611
1119,-27.3405022825
1120,-27.3405023039
1121,-27.3405023252
1122,-27.3405023465
1123,-27.3405023678
1124,-27.3405023891
1125,-27.3405024104
1126,-27.3405024316
1127,-27.3405024529
1128,-27.3405024741
1129,-27.3405024953
1130,-27.3405025164
1131,-27.3405025376
1132,-27.3405025587
1133,-27.3405025798
1134,-27.3405026009
1135,-27.340502622
1136,-27.3405026431
1137,-27.3405026641
1138,-27.3405026851
1139,-27.3405027061
1140,-27.3405027271
1141,-27.3405027481
1142,-27.340502769
1143,-27.34050279
1144,-27.3405028109
1145,-27.3405028318
1146,-27.3405028527
1147,-27.3405028735
1148,-27.3405028944
1149,-27.3405029152
1150,-27.340502936
1151,-27.3405029568
1152,-27.3405029776
1153,-27.3405029983
1154,-27.3405030191
1155,-27.3405030398
1156,-27.3405030605
1157,-27.3405030812
1158,-27.3405031018
1159,-27.3405031225
1160,-27.3405031431
1161,-27.3405031637
1162,-27.3405031843
1163,-27.3405032049
1164,-27.3405032255
1165,-27.340503246
1166,-27.3405032665
1167,-27.340503287
1168,-27.3405033075
1169,-27.340503328
1170,-27.3405033485
1171,-27.3405033689
1172,-27.3405033894
1173,-27.3405034098
1174,-27.3405034302
1175,-27.3405034505
1176,-27.3405034709
1177,-27.3405034912
1178,-27.3405035116
1179,-27.3405035319
1180,-27.3405035522
1181,-27.3405035725
1182,-27.3405035927
1183,-27.340503613
1184,-27.3405036332
1185,-27.3405036534
1186,-27.3405036736
1187,-27.3405036938
1188,-27.340503714
1189,-27.3405037341
1190,-27.3405037542
1191,-27.3405037744
1192,-27.3405037945
1193,-27.3405038146
1194,-27.3405038346
1195,-27.3405038547
1196,-27.3405038747
1197,-27.3405038947
1198,-27.3405039147
1199,-27.3405039347
1200,-27.3405039547
1201,-27.3405039747
1202,-27.3405039946
1203,-27.3405040145
1204,-27.3405040345
1205,-27.3405040544
1206,-27.3405040742
1207,-27.3405040941
1208,-27.340504114
1209,-27.3405041338
1210,-27.3405041536
1211,-27.3405041734
1212,-27.3405041932
1213,-27.340504213
1214,-27.3405042328
1215,-27.3405042525
1216,-27.3405042723
1217,-27.340504292
1218,-27.3405043117
1219,-27.3405043314
1220,-27.340504351
1221,-27.3405043707
1222,-27.3405043903
1223,-27.34050441
1224,-27.3405044296
1225,-27.3405044492
1226,-27.3405044688
1227,-27.3405044883
1228,-27.3405045079
1229,-27.3405045274
1230,-27.340504547
1231,-27.3405045665
1232,-27.340504586
1233,-27.3405046055
1234,-27.3405046249
1235,-27.3405046444
1236,-27.3405046638
1237,-27.3405046833
1238,-27.3405047027
1239,-27.3405047221
1240,-27.3405047415
1241,-27.3405047608
1242,-27.3405047802
1243,-27.3405047995
1244,-27.3405048189
1245,-27.3405048382
1246,-27.3405048575
1247,-27.3405048768
1248,-27.3405048961
1249,-27.3405049153
1250,-27.3405049346
1251,-27.3405049538
1252,-27.340504973
1253,-27.3405049922
1254,-27.3405050114
1255,-27.3405050306
1256,-27.3405050498
1257,-27.3405050689
1258,-27.3405050881
1259,-27.3405051072
1260,-27.3405051263
1261,-27.3405051454
1262,-27.3405051645
1263,-27.3405051836
1264,-27.3405052026
1265,-27.3405052217
1266,-27.3405052407
1267,-27.3405052597
1268,-27.3405052787
1269,-27.3405052977
1270,-27.3405053167
1271,-27.3405053357
1272,-27.3405053546
1273,-27.3405053736
1274,-27.3405053925
1275,-27.3405054114
1276,-27.3405054303
1277,-27.3405054492
1278,-27.3405054681
1279,-27.340505487
1280,-27.3405055058
1281,-27.3405055247
1282,-27.3405055435
1283,-27.3405055623
1284,-27.3405055811
1285,-27.3405055999
1286,-27.3405056187
1287,-27.3405056375
1288,-27.3405056562
1289,-27.340505675
1290,-27.3405056937
1291,-27.3405057124
1292,-27.3405057311
1293,-27.3405057498
1294,-27.3405057685
1295,-27.3405057872
1296,-27.3405058058
1297,-27.3405058245
1298,-27.3405058431
1299,-27.3405058617
1300,-27.3405058803
1301,-27.3405058989
1302,-27.3405059175
1303,-27.3405059361
1304,-27.3405059546
1305,-27.3405059732
1306,-27.3405059917
1307,-27.3405060102
1308,-27.3405060288
1309,-27.3405060473
1310,-27.3405060657
1311,-27.3405060842
1312,-27.3405061027
1313,-27.3405061211
1314,-27.3405061396
1315,-27.340506158
1316,-27.3405061764
1317,-27.3405061948
1318,-27.3405062132
1319,-27.3405062316
1320,-27.34050625
1321,-27.3405062684
1322,-27.3405062867
1323,-27.3405063051
1324,-27.3405063234
1325,-27.3405063417
1326,-27.34050636
1327,-27.3405063783
1328,-27.3405063966
1329,-27.3405064149
1330,-27.3405064331
1331,-27.3405064514
1332,-27.3405064696
1333,-27.3405064878
1334,-27.3405065061
1335,-27.3405065243
1336,-27.3405065425
1337,-27.3405065606
1338,-27.3405065788
1339,-27.340506597
1340,-27.3405066151
1341,-27.3405066333
1342,-27.3405066514
1343,-27.3405066695
1344,-27.3405066876
1345,-27.3405067057
1346,-27.3405067238
1347,-27.3405067419
1348,-27.3405067599
1349,-27.340506778
1350,-27.340506796
1351,-27.3405068141
1352,-27.3405068321
1353,-27.3405068501
1354,-27.3405068681
1355,-27.3405068861
1356,-27.3405069041
1357,-27.3405069221
1358,-27.34050694
1359,-27.340506958
1360,-27.3405069759
1361,-27.3405069938
1362,-27.3405070118
1363,-27.3405070297
1364,-27.3405070476
1365,-27.3405070655
1366,-27.3405070833
1367,-27.3405071012
1368,-27.3405071191
1369,-27.3405071369
1370,-27.3405071547
1371,-27.3405071726
1372,-27.3405071904
1373,-27.3405072082
1374,-27.340507226
1375,-27.3405072438
